epoch,lr,train_loss,train_acc,val_loss,val_acc,best_acc,time_sec
1,0.02800000,1.553954,42.048,1.327495,53.500,53.500,44.4
2,0.04600000,1.117692,60.200,1.214205,59.510,59.510,36.2
3,0.06400000,0.844216,70.424,0.860297,71.900,71.900,39.7
4,0.08200000,0.694738,76.032,0.710323,75.950,75.950,42.1
5,0.10000000,0.617006,78.810,0.776945,74.610,75.950,44.8
6,0.09999351,0.559249,80.620,0.579597,80.450,80.450,41.0
7,0.09997405,0.494723,83.214,0.766938,75.310,80.450,41.5
8,0.09994162,0.459898,84.256,0.622664,79.320,80.450,40.2
9,0.09989622,0.439276,85.034,0.622715,78.890,80.450,39.7
10,0.09983788,0.420071,85.552,0.623662,79.950,80.450,42.1
11,0.09976661,0.405780,86.224,0.517048,82.470,82.470,43.2
12,0.09968241,0.402942,86.354,0.751549,75.640,82.470,41.3
13,0.09958533,0.391708,86.476,0.487608,83.660,83.660,39.1
14,0.09947537,0.380939,86.822,0.591314,80.450,83.660,41.5
15,0.09935258,0.373859,87.206,0.702755,77.670,83.660,40.7
16,0.09921698,0.370693,87.330,0.558819,82.040,83.660,40.9
17,0.09906860,0.364325,87.600,0.636936,80.740,83.660,41.4
18,0.09890749,0.359708,87.656,0.574040,81.390,83.660,40.2
19,0.09873369,0.356839,87.854,0.545103,81.500,83.660,40.4
20,0.09854724,0.350973,88.094,0.458600,84.260,84.260,39.8
21,0.09834819,0.348843,88.154,0.623875,79.140,84.260,41.3
22,0.09813659,0.342442,88.394,0.469980,84.680,84.680,42.4
23,0.09791250,0.332188,88.680,0.711721,78.280,84.680,42.6
24,0.09767598,0.337253,88.524,0.435816,85.260,85.260,41.5
25,0.09742708,0.336473,88.566,0.483891,83.250,85.260,42.3
26,0.09716587,0.330303,88.794,0.468941,84.400,85.260,42.2
27,0.09689243,0.331229,88.838,0.858570,74.470,85.260,42.1
28,0.09660681,0.327959,88.782,0.505754,83.560,85.260,31.2
29,0.09630910,0.323408,89.210,0.631344,78.820,85.260,31.4
30,0.09599937,0.323368,89.070,0.434310,85.350,85.350,28.2
31,0.09567771,0.319220,89.166,0.436033,85.860,85.860,32.3
32,0.09534418,0.315614,89.148,0.572605,81.370,85.860,32.1
33,0.09499889,0.315443,89.354,0.439230,85.350,85.860,31.0
34,0.09464193,0.316808,89.220,0.619287,80.660,85.860,30.9
35,0.09427337,0.308962,89.436,0.434810,85.560,85.860,30.5
36,0.09389333,0.311565,89.422,0.617978,80.510,85.860,31.9
37,0.09350190,0.306324,89.628,0.545147,82.190,85.860,33.3
38,0.09309917,0.305727,89.484,0.547544,82.660,85.860,30.6
39,0.09268526,0.304581,89.734,0.624289,80.810,85.860,33.4
40,0.09226028,0.301777,89.736,0.447359,85.300,85.860,33.9
41,0.09182432,0.303012,89.452,0.454558,85.330,85.860,32.4
42,0.09137752,0.298762,89.756,0.537111,82.670,85.860,34.6
43,0.09091997,0.292589,90.084,0.514062,83.020,85.860,36.9
44,0.09045180,0.293265,90.050,0.536666,82.890,85.860,37.5
45,0.08997314,0.296279,90.004,0.432189,86.180,86.180,34.2
46,0.08948410,0.287677,90.236,0.493007,83.910,86.180,33.4
47,0.08898482,0.291770,90.092,0.409682,86.110,86.180,34.9
48,0.08847542,0.283424,90.358,0.482998,84.320,86.180,33.1
49,0.08795603,0.285862,90.330,0.543384,82.600,86.180,33.5
50,0.08742679,0.286824,90.262,0.462477,84.670,86.180,35.2
51,0.08688785,0.287128,90.164,0.453685,85.600,86.180,34.0
52,0.08633932,0.283442,90.410,0.447884,86.220,86.220,33.9
53,0.08578137,0.279512,90.566,0.398017,86.850,86.850,32.5
54,0.08521413,0.277880,90.570,0.569981,81.930,86.850,35.2
55,0.08463775,0.278285,90.440,0.458429,85.440,86.850,35.5
56,0.08405239,0.277969,90.518,0.490239,84.250,86.850,33.3
57,0.08345818,0.266783,90.942,0.422491,85.810,86.850,34.8
58,0.08285530,0.278469,90.472,0.390344,87.310,87.310,36.7
59,0.08224389,0.267437,90.942,0.410049,86.960,87.310,36.1
60,0.08162411,0.271882,90.760,0.445290,86.000,87.310,34.2
61,0.08099612,0.263994,91.062,0.335353,88.780,88.780,34.6
62,0.08036009,0.264803,91.034,0.431596,86.070,88.780,35.8
63,0.07971618,0.264679,90.990,0.356637,88.290,88.780,34.1
64,0.07906456,0.257506,91.192,0.437579,86.040,88.780,35.0
65,0.07840540,0.260786,91.032,0.387756,87.360,88.780,35.4
66,0.07773886,0.256142,91.386,0.366346,87.700,88.780,35.4
67,0.07706513,0.255926,91.330,0.558076,82.500,88.780,34.6
68,0.07638437,0.252911,91.336,0.416320,86.560,88.780,34.3
69,0.07569677,0.250860,91.500,0.404373,86.880,88.780,35.7
70,0.07500250,0.251486,91.398,0.436940,85.850,88.780,34.6
