epoch,stage,backbone_lr,head_lr,train_loss,train_acc,val_loss,val_acc,best_acc,time_sec
1,head,0.00099726,0.00997261,1.174387,71.912,1.036005,78.970,78.970,74.9
2,all,0.00098908,0.00989075,0.875136,86.352,0.768312,91.530,91.530,107.6
3,all,0.00097555,0.00975531,0.760022,91.714,0.733320,92.830,92.830,102.5
4,all,0.00095682,0.00956777,0.722598,93.324,0.709969,93.770,93.770,99.1
5,all,0.00093308,0.00933019,0.700576,94.096,0.701121,93.840,93.840,103.9
6,all,0.00090460,0.00904518,0.682484,94.960,0.686048,94.640,94.640,102.2
7,all,0.00087170,0.00871585,0.669888,95.508,0.676774,94.700,94.700,101.9
8,all,0.00083473,0.00834582,0.659869,95.874,0.676678,94.720,94.720,100.8
9,all,0.00079410,0.00793913,0.650462,96.282,0.677538,94.550,94.720,105.1
10,all,0.00075025,0.00750025,0.644253,96.490,0.665018,95.170,95.170,105.2
11,all,0.00070366,0.00703398,0.638928,96.760,0.667883,95.170,95.170,102.5
12,all,0.00065485,0.00654543,0.630961,97.128,0.659800,95.360,95.360,76.0
13,all,0.00060435,0.00603995,0.626336,97.330,0.658481,95.380,95.380,80.0
14,all,0.00055271,0.00552309,0.623328,97.332,0.657902,95.180,95.380,78.4
15,all,0.00050050,0.00500050,0.618902,97.644,0.652804,95.490,95.490,82.3
16,all,0.00044829,0.00447791,0.616356,97.634,0.652072,95.530,95.530,83.6
17,all,0.00039665,0.00396105,0.614114,97.828,0.650498,95.590,95.590,86.4
18,all,0.00034615,0.00345557,0.610892,97.862,0.650002,95.520,95.590,89.4
19,all,0.00029734,0.00296702,0.608209,98.044,0.647462,95.590,95.590,86.0
20,all,0.00025075,0.00250075,0.606158,98.080,0.647868,95.650,95.650,85.5
21,all,0.00020690,0.00206187,0.604283,98.118,0.646607,95.660,95.660,84.8
22,all,0.00016627,0.00165518,0.603480,98.172,0.646588,95.690,95.690,86.7
23,all,0.00012930,0.00128515,0.602088,98.224,0.645849,95.730,95.730,86.8
24,all,0.00009640,0.00095582,0.602062,98.194,0.645352,95.680,95.730,89.3
25,all,0.00006792,0.00067081,0.600772,98.314,0.645047,95.770,95.770,87.6
26,all,0.00004418,0.00043323,0.599535,98.356,0.644278,95.770,95.770,87.0
27,all,0.00002545,0.00024569,0.599152,98.342,0.644830,95.710,95.770,87.8
28,all,0.00001192,0.00011025,0.598687,98.410,0.644233,95.780,95.780,87.4
29,all,0.00000374,0.00002839,0.597701,98.422,0.644614,95.710,95.780,88.8
30,all,0.00000100,0.00000100,0.597984,98.418,0.644885,95.650,95.780,86.9
